,Industry Code,Description,Total Output,Wage and Salary Employment,Employee Compensation,Proprietor Employment,Proprietor Income,Other Property Income,Taxes on Production and Imports Net of Subsidies
37,37,446 -  Health and Personal Care Stores,"$24,711,116,177.96","119,951.27","$8,670,154,832.41","48,194.08","$509,857,847.19","$8,785,636,596.39","$2,596,263,256.92"
38,38,457 -  Gasoline Stations and Fuel Dealers,"$11,640,681,830.10","54,248.22","$2,631,420,707.79","15,741.43","$2,537,184,370.74","$1,753,334,343.16","$1,948,431,354.72"
39,39,"458 -  Clothing, Clothing Accessories, Shoe, and Jewelry Retailers","$31,661,560,730.86","148,580.65","$7,718,935,088.74","49,055.94","$901,467,037.62","$7,780,633,610.82","$5,310,600,799.40"
40,40,"459 -  Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers","$23,571,329,923.18","157,200.04","$8,652,571,695.27","150,213.88","$1,934,607,709.94","$2,784,579,788.35","$3,288,773,942.42"
41,41,455 -  General Merchandise Retailers,"$35,660,633,262.56","279,389.56","$14,800,188,840.29","23,192.11","$247,001,676.94","$5,118,911,803.73","$7,455,529,391.97"
42,42,481 -  Air Transportation,"$37,153,549,578.69","58,928.83","$9,770,301,097.26","3,268.93","$355,632,434.42","$6,683,105,818.19","$4,688,705,001.32"
43,43,482 -  Rail Transportation,"$4,374,592,090.22","11,476.06","$1,414,856,709.61",5.04,"$(60,142,946.55)","$1,321,507,999.96","$(428,613,056.10)"
44,44,483 -  Water Transportation,"$5,527,906,119.11","4,597.59","$755,228,098.92",874.73,"$40,543,362.46","$897,046,737.73","$107,192,377.16"
45,45,484 -  Truck Transportation,"$57,971,748,639.66","148,583.03","$12,822,603,964.70","121,311.48","$8,623,725,968.93","$6,626,396,343.00","$819,605,279.71"
46,46,485 -  Transit and Ground Passenger Transportation,"$34,059,294,086.42","50,463.14","$6,522,875,101.84","206,240.51","$5,161,392,197.89","$10,427,180,032.46","$447,499,862.06"
47,47,486 -  Pipeline Transportation,"$2,533,115,400.87","2,474.98","$496,581,344.48",332.14,"$241,649,716.03","$290,240,264.99","$305,407,245.33"
48,48,487-488 -  Scenic and Sightseeing Transportation and Support Activities for Transportation,"$16,001,046,282.56","114,836.81","$11,385,586,791.38","16,378.27","$4,039,581,454.61","$(2,539,960,613.77)","$235,634,015.76"
49,49,492 -  Couriers and Messengers,"$22,161,819,589.62","132,163.83","$10,974,219,901.59","308,354.08","$148,022,192.77","$9,169,355,881.42","$361,060,511.37"
50,50,493 -  Warehousing and Storage,"$28,981,092,426.33","245,582.44","$19,496,864,394.33","14,154.45","$210,908,043.24","$1,114,155,969.06","$244,164,983.07"
51,51,513 -  Publishing Industries,"$116,222,346,806.87","113,627.22","$37,853,159,859.23","30,826.27","$1,428,330,204.44","$48,551,191,236.40","$1,457,311,280.86"
52,52,512 -  Motion Picture and Sound Recording Industries,"$84,174,871,634.58","133,155.32","$21,603,107,818.27","21,699.50","$1,493,686,454.13","$32,081,244,628.61","$2,522,767,348.72"
53,53,516 -  Broadcasting and Content Providers,"$73,994,949,048.19","58,826.34","$29,820,556,001.13","8,053.45","$9,257,047,969.45","$7,776,615,378.92","$261,329,720.52"
54,54,517 -  Telecommunications,"$63,717,306,409.81","52,356.50","$9,362,423,550.21","23,418.04","$(227,432,658.88)","$24,334,066,244.30","$753,845,262.73"
55,55,"518 -  Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","$89,038,730,390.40","120,694.09","$35,906,878,541.14","39,388.45","$1,610,311,804.54","$23,177,854,926.84","$926,621,983.45"
56,56,"519 -  Web Search Portals, Libraries, Archives, and Other Information Services","$174,765,860,353.29","85,525.02","$42,262,655,391.09","2,892.13","$541,309,771.16","$81,300,602,046.88","$1,268,745,490.89"
57,57,522 -  Credit Intermediation and Related Activities,"$38,503,968,279.05","77,210.04","$14,257,988,096.86","18,035.30","$474,600,167.86","$6,662,392,968.67","$1,032,562,545.49"
58,58,"523 -  Securities, Commodity Contracts, and Other Financial Investments and Related Activities","$105,047,948,473.44","104,554.30","$41,217,357,141.64","501,992.11","$9,193,438,702.57","$(3,315,708,161.31)","$1,295,325,869.87"
